cell_id,reaches_eol,T,t1,n_kept,q1,denominator,T_from_record_end,family_params,family_at_bound,rmse_power_law,rmse_two_term_exponential,rmse_rollover,cv_rmse_power_law,cv_rmse_two_term_exponential,cv_rmse_rollover,residual_scale_Ah,residual_mean_over_scale,n_positive,n_negative,fit_positions
MATR_b2c36,True,533.0,20,559,1.0851975307692343,0.2051975307692342,False,"[1.0025711297983628, -0.024305582422746032, -0.00030387267356036423, 12.027172305316787]",[],0.0030568366042598126,0.0011648562383520355,0.0009613205675410755,0.010442616646571003,0.003723998309784444,0.0048837436660739255,0.00104137669732954,9.906709113757235e-08,1,1,514
MATR_b2c37,True,477.0,20,500,1.080121601398605,0.2001216013986049,False,"[1.001837728472031, -0.004616390523494015, -0.00025817758512059407, 13.87774815567239]",[],0.003795612026138676,0.001408731666085496,0.0011023489241020613,0.009761559357853578,0.005057084475140409,0.006288091287505097,0.0010504668217138052,5.553496036143678e-09,1,2,458
MATR_b2c38,True,464.0,20,486,1.0748100869463906,0.19481008694639046,False,"[1.0040914543489152, -0.04782771648306007, -8.606281335155346e-05, 16.340061980201835]",[],0.004309810989356693,0.0010913482240318985,0.001094944234513675,0.010788772483949254,0.006353638465285358,0.0069214659104519976,0.0011878402842192242,-2.3461160443132413e-06,1,2,445
MATR_b2c39,True,458.0,20,479,1.0855229659673693,0.2055229659673692,False,"[1.0032336563590738, -0.028593120037808045, -0.00013535511365576268, 15.79417937582849]",[],0.004441095347986899,0.0012651052434133922,0.0012425839485190337,0.01070346124071263,0.006516886871907585,0.0076746345178902164,0.0012321943740307812,-3.9448369790229527e-07,1,2,439
MATR_b2c41,True,428.0,20,451,1.0747969599067635,0.19479695990676338,False,"[1.003812040276346, -0.04460324415181541, -0.00021970871478885028, 15.539772100686191]",[],0.003330512762068905,0.0009943933862386547,0.0009948303409352682,0.010531887502769927,0.006307533582973311,0.007138538338658458,0.0010928095006981443,-1.03574400943855e-06,1,1,409
MATR_b2c42,True,464.0,20,490,1.0832161708624746,0.20321617086247445,False,"[1.0026847217202872, -0.024141853427380573, -0.00046074693698557316, 12.962555792844043]",[],0.003048352900469554,0.0015970136519108593,0.001356879083238831,0.010650418109099283,0.005463050265344811,0.007001115019759576,0.0012816654127010747,6.370376292383567e-08,1,1,445
MATR_b2c44,True,455.0,20,477,1.0762321946386981,0.196232194638698,False,"[1.0022800099810967, -0.020050302127361405, -0.00020501015836567584, 14.93152629640652]",[],0.003658717830449123,0.0013471385058434785,0.0011632571148841556,0.010257171482812884,0.005772187815718126,0.007120548802622806,0.0010860797536214816,-1.117679577879168e-09,1,1,436
MATR_b2c45,True,485.0,18,513,1.0751993039627077,0.19519930396270757,False,"[1.0043866057194135, -0.0678172082936583, -0.00017399641227713639, 14.025661968172678]",[],0.004280200262236762,0.001070023037545313,0.001069633997461499,0.012125791464002385,0.006079689955888727,0.006798372622165244,0.001259814507366172,-3.615012528856605e-06,1,0,468
MATR_b2c47,True,712.0,20,744,1.0501250871794907,0.1701250871794906,False,"[1.0057780179392537, -0.09068510973492272, -0.00010353639460853162, 9.717949933120394]",[],0.005103555765696324,0.0009594386209890017,0.0009465427136892409,0.012024126289768502,0.004972468910253014,0.005127530000896716,0.0010650877767635156,-2.36197595566794e-05,1,0,693
MATR_b2c6,True,509.0,11,543,1.0724161662004696,0.19241616620046953,False,"[1.0084634023310048, -0.29912416872899494, -1.6380492427497334e-05, 15.630421127566239]",[],0.0040409932891004915,0.001168529994062259,0.0010862659866617958,0.009629080536091942,0.004377111875132815,0.004654612007649826,0.0010492673289957052,-3.229868861185981e-05,0,0,499
MATR_b3c1,True,1061.0,16,1061,1.068427683449887,0.1884276834498868,True,"[1.0018586454499014, -0.03809779733774818, -1.2108754140138966e-05, 8.871242975878134]",[],0.006335601325592844,0.0019300469289021782,0.0011024138552365847,0.016487564949004822,0.007478983441234793,0.008220773874287556,0.001272597788867639,6.9490528136772316e-06,3,0,1046
MATR_b3c10,True,1076.0,20,1076,1.064645648251752,0.18464564825175178,True,"[1.0021111227126047, -0.03216282077914419, -2.497629737220576e-05, 8.108047645642484]",[],0.0058744718975614904,0.0023681859214786517,0.0015731796633506152,0.015674066558101475,0.008412783885612582,0.010181995395168567,0.0013025130004293444,4.28565909599877e-06,0,0,1057
MATR_b3c11,True,815.0,17,815,1.070726958508162,0.1907269585081619,True,"[1.002988653058744, -0.04904908301372196, -7.872656103697411e-05, 9.212786104173544]",[],0.0048805084839309955,0.0008550206527814916,0.0008531643518462129,0.012905077767021636,0.005011606915297712,0.005465043748600405,0.001051064782990438,-7.420620325502074e-06,0,0,799
MATR_b3c12,True,930.0,19,930,1.0768634296037334,0.19686342960373326,True,"[1.0027524657408484, -0.031762170999389466, -2.772509745281113e-05, 9.318271948439868]",[],0.005377106506977925,0.001212158830030639,0.001209407267280065,0.012459493458378356,0.007232330947092332,0.007878587575076357,0.0015600148955807202,-4.168311260785747e-06,1,0,912
MATR_b3c13,True,814.0,20,814,1.0695746181818218,0.18957461818182164,True,"[1.003237668540552, -0.049399253842217154, -0.00011847293582595376, 8.692208293015314]",[],0.004628044823899322,0.0006481795894017364,0.0006555888614250383,0.012163581502583311,0.004221393455221584,0.004607918006612746,0.0007542434375199579,-9.713900734418772e-06,0,1,795
MATR_b3c14,True,856.0,20,856,1.0772953130536167,0.19729531305361658,True,"[1.0030776273427278, -0.03405569589726202, -8.874350434035922e-05, 8.730015076821008]",[],0.004145315822077485,0.0007303016220984875,0.0007410416111659844,0.011183382680866267,0.004391285802180698,0.004868164207356159,0.0009440862443953331,-4.9167233959986825e-06,0,1,837
MATR_b3c16,True,1636.0,18,1636,1.0643385261072296,0.18433852610722945,True,"[1.0013922762759946, -0.03193846441977005, -4.873060664527726e-05, 4.832572669413677]",[],0.00638671848356927,0.0022116806944781266,0.0010964844781521184,0.01753690496036033,0.008215421330673312,0.008425020112494571,0.00147568380937521,1.3406409082057227e-05,1,0,1619
MATR_b3c17,True,1313.0,10,1313,1.0698727412587448,0.18987274125874465,True,"[0.9990085314409907, -0.031221882392853118, -8.725191247723985e-05, 5.649301704164992]",[],0.005698211869073836,0.0025190697253859853,0.0011287535767345823,0.017431485193755418,0.007717295723424278,0.0069759754106680505,0.0019283499931628135,7.479202541503585e-06,1,1,1304
MATR_b3c18,True,1144.0,16,1144,1.0700733776223812,0.19007337762238108,False,"[1.0006507860999958, -0.0373539658056811, -5.873668439979006e-05, 6.84978813457217]",[],0.005852071694542026,0.0022907344866815427,0.001055756597139682,0.01698114158022409,0.006452925519332466,0.0065552899041943615,0.0013366465086004408,1.129641327653631e-05,1,0,1129
MATR_b3c2,True,1265.0,17,1265,1.0630037177156213,0.18300371771562118,True,"[1.0001585934232307, -0.031058457013891778, -8.975299507555717e-05, 5.846600496503413]",[],0.005585384509865139,0.002640414256676115,0.0008516597295570818,0.017423188718596487,0.00467328131472493,0.0032371312187921748,0.0019181874627455238,9.289741332260182e-06,3,0,1249
MATR_b3c20,True,811.0,20,811,1.068003553379957,0.1880035533799569,True,"[1.0033909085321924, -0.04452266367806922, -4.663288346024212e-06, 12.803290096028014]",[],0.006695047081180171,0.001288221090729331,0.0012543833541546804,0.014334735970646741,0.009093691879410629,0.009945618909292102,0.001307953974490267,-7.164127553239862e-06,1,0,792
MATR_b3c22,True,1000.0,17,1000,1.0590757659673695,0.1790757659673694,True,"[1.0034851200571626, -0.042710636658271246, -2.0160778647923568e-07, 13.377293763300932]",[],0.007336725176176536,0.001331165958382196,0.0013063682057124918,0.01296862818281016,0.00916653625816909,0.00928775332083947,0.0018173327469269938,-1.9784560467496912e-05,0,0,984
MATR_b3c23,False,,16,2188,1.0687427270396306,0.18874272703963046,False,"[1.0019165882822656, -0.03290187308844169, -4.2603208811564765e-07, 5.399827185343582]",[],0.005376203553871128,0.0005265140791879323,0.0004355498405517365,,,,0.00045599959206643257,1.4662781302634958e-05,9,9,2173
MATR_b3c24,True,823.0,20,823,1.050482590442894,0.17048259044289393,True,"[1.0050627156018734, -0.050554497476060514, -6.037810218700561e-06, 12.090420733244038]",[],0.00561734772947298,0.0013320274141500662,0.0013189507207170639,0.012346905707987988,0.007662941530430507,0.007852580689906111,0.001356704014628961,-1.697383473736715e-05,0,0,804
MATR_b3c25,True,987.0,20,987,1.0650901836829871,0.18509018368298702,True,"[1.0037980649255256, -0.04096656235957188, -3.992122176421958e-06, 10.616066756079519]",[],0.006533372615871687,0.0012616234182174133,0.0011440065758275652,0.014749036634462708,0.009984527297006602,0.01073603658617667,0.0014728527052996457,-6.08970699472246e-06,1,0,968
MATR_b3c26,True,1026.0,20,1026,1.0755010188811225,0.19550101888112237,True,"[1.0017446485240236, -0.030186749945711067, -0.00011946134935728958, 7.022000583467233]",[],0.004483631446200507,0.0015560299439871662,0.0008266812272159707,0.014819735144726499,0.005000294139778956,0.005245043130344512,0.0011396953678305653,3.7429822900655565e-06,0,0,1007
MATR_b3c27,True,848.0,20,848,1.064168887412591,0.18416888741259085,False,"[1.0028546554264417, -0.04217358125756993, -3.9647134923125354e-05, 9.684314343458999]",[],0.0048387603577574965,0.0008294433680165854,0.0007831769025908987,0.013506080622324727,0.005316537648446274,0.006092194786233468,0.0006719600565686342,-3.6621916091904844e-06,1,1,829
MATR_b3c28,True,539.0,6,539,1.0527228668997703,0.17272286689977023,True,"[1.0028418878367718, -0.20086133123296976, -0.00046388770752201234, 9.090708094167217]",[],0.003461118908754299,0.0005687783269457621,0.0005771677526765694,0.008615129741834145,0.0032144226918295804,0.0014183059125769141,0.0007407062941831411,6.0443325735764925e-06,0,0,534
MATR_b3c29,True,856.0,20,856,1.0708673715617751,0.19086737156177502,True,"[1.00360536733141, -0.04559862817164388, -9.400479183581593e-05, 8.576845941815083]",[],0.004729278686785368,0.0006638833402341241,0.0006639272038444066,0.01289490923253426,0.004703417883676274,0.005093809157490083,0.0006433295014169209,-9.680480261491693e-06,0,0,837
MATR_b3c3,True,1113.0,20,1113,1.0652432510489547,0.18524325104895456,True,"[1.00210435327711, -0.03624104860598978, -1.711913865250885e-05, 8.129685413124363]",[],0.0058528782603270236,0.0015470719454208975,0.0010023145102897265,0.015624856415417892,0.0065224622797656505,0.007500209830643115,0.0011049201282912883,4.315685980222284e-06,2,0,1094
MATR_b3c30,True,933.0,20,933,1.0721533466200504,0.19215334662005024,True,"[1.0025859797232883, -0.03584260604568486, -1.2264696627842046e-05, 10.091387454248338]",[],0.005699197098790022,0.0005448697177108294,0.0005397980162186366,0.013631944759667766,0.0034742872061641165,0.0038165058688168904,0.0005458091844914212,-8.75328653906212e-06,1,0,914
MATR_b3c31,True,729.0,20,729,1.0714425400932437,0.19144254009324357,True,"[1.0028299233605753, -0.042112076184068356, -1.586460290788702e-05, 12.605570209237392]",[],0.0057395975782918865,0.0010477061656918112,0.0010377605111644495,0.013208563612635943,0.006629625729775668,0.007485377123835775,0.0011356006121961723,-4.1483987948409144e-06,1,0,710
MATR_b3c32,False,,19,2236,1.075078153379957,0.19507815337995682,False,"[1.0021892441578373, -0.033337828004041586, -1.1104778941677259e-07, 5.5170625484926745]",[],0.002629200401980907,0.0005207420127352744,0.0005243368120511716,,,,0.0006874808622123485,-1.3595230579412941e-06,0,2,2218
MATR_b3c34,True,1156.0,20,1156,1.0642233501165537,0.18422335011655355,True,"[1.0008494506922903, -0.03770731048172476, -4.0125910607792966e-05, 7.065053823193077]",[],0.006238352726519108,0.0029240645517535193,0.001267861416134706,0.01743586825634683,0.01070512925459911,0.01087777915123349,0.0016262884157947999,1.1999542984453481e-05,0,0,1137
